Traffic,Sources,UDP,TCP
1296332,125866,141918,1083823
1298005,126223,141407,1085272
1256098,126474,137969,1046527
1262091,126400,136448,1054935
1241524,125722,137645,1032015
1262080,126142,136880,1052321
1300809,126306,136723,1093160
1256355,126072,136694,1048230
1297626,125931,136806,1089254
1290794,125438,134505,1084867
1256929,126393,137336,1048609
1268365,127387,138894,1058618
1254003,126290,135791,1045887
1269611,126511,135027,1063036
1312213,127199,140143,1100908
1374774,127720,175489,1129409
1353397,127140,172577,1110548
1296726,126834,174561,1051301
1328676,126743,176732,1082214
1405324,126733,172178,1161360
1402188,128059,172589,1158606
1358868,128042,174077,1115453
1339032,127765,171326,1096912
1416811,128035,169979,1176532
1418985,127373,169621,1178262
1422924,127363,171415,1181201
1477044,127480,169500,1233629
1520632,127758,197179,1249599
1564114,127985,224222,1265112
1673457,128753,235630,1362756
1595015,128352,219696,1300566
1570552,129055,231081,1265406
1560195,129436,223714,1264212
1559620,129358,231391,1259633
1561219,129175,234443,1257761
1525538,129702,230705,1224971
1505979,130043,238336,1197077
1551958,131390,240470,1235624
1513747,131436,232676,1198326
1501484,131051,233030,1182793
1517779,130868,242961,1200954
1533058,131645,237744,1225583
2529922,131227,236892,2223517
2594540,131332,237373,2288422
2478767,131256,236084,2173654
2496135,130465,228759,2198015
2490601,130425,230984,2189500
2528376,129835,233653,2226822
2483737,129091,197508,2217453
2475322,129646,192194,2212085
2418460,130176,194923,2154217
2475521,129464,193071,2212833
2484149,129339,203120,2211539
2519314,128617,216993,2232348
2527896,128740,220015,2238219
2513900,128641,227491,2217701
2501632,128485,230180,2202739
2480370,129215,226645,2184642
1494391,128360,211014,1214429
1445825,127890,208606,1162338
1514674,128878,221351,1219113
1443934,128932,217786,1157144
1439831,129721,218618,1152074
1462500,130231,212792,1180819
1446042,129332,217873,1158638
1430509,130460,215992,1145392
1444876,130033,222991,1153574
1394223,129669,211750,1114110
1441798,129583,220196,1153232
1466732,130117,227866,1169587
1561215,128963,229088,1263834
1475502,129067,224196,1180803
1474258,128276,212671,1190051
1397715,127751,209985,1113976
1398586,127560,219155,1106447
1405145,129444,231246,1088854
1389757,129791,225596,1084278
1419726,129515,228505,1111483
1435420,129653,230917,1129411
1411586,129139,237460,1102797
1398271,129886,234703,1092051
1442206,131144,235900,1134797
1440486,131488,229938,1139104
1425526,131639,243579,1110806
1460843,130753,238956,1150473
1572069,132426,245063,1258262
1546793,132819,246173,1232242
1474961,133093,238782,1167523
1464770,133420,250631,1145758
1451633,133805,246596,1136261
1481397,135309,251061,1161958
1519242,136209,243930,1207984
1608808,137052,239186,1300904
1715082,136988,251434,1395407
1571097,137008,251516,1250994
1475238,136599,252013,1154981
1494153,136603,251202,1175241
1505911,137046,252214,1185145
1497049,136716,252910,1174908
1504355,136754,252407,1183126
1464709,135613,251283,1144177
1468191,135769,252901,1147177
1450757,136563,246082,1136061
1542149,136905,249404,1223755
1445308,135224,247722,1128901
1417974,136479,248943,1099933
1412303,135568,242801,1100492
1427296,134927,241640,1115746
1445746,135448,246106,1130461
1524987,135192,245546,1210493
1449641,136703,247540,1134278
1437220,135910,245195,1124104
